Timestamp,Key,Interval_ms,Chars_per_Second,Error_Count,is_human
28/10/2024 18:46,s,"15,16","65,96",0,0
28/10/2024 18:46,.,"16,02","62,42",0,0
28/10/2024 18:46,[SHIFT],"15,94","62,75",0,0
28/10/2024 18:46,S,"0,94","1066,1",0,0
28/10/2024 18:46,p,"14,98","66,76",0,0
28/10/2024 18:46,e,"16,2","61,72",0,0
28/10/2024 18:46,e,"15,92","62,82",0,0
28/10/2024 18:46,c,"16,52","60,54",0,0
28/10/2024 18:46,h,16,"62,5",0,0
28/10/2024 18:46,[SHIFT],"15,95","62,71",0,0
28/10/2024 18:46,S,0,0,0,0
28/10/2024 18:46,y,"15,75","63,48",0,0
28/10/2024 18:46,n,"16,17","61,85",0,0
28/10/2024 18:46,t,"16,09","62,15",0,0
28/10/2024 18:46,h,"16,17","61,84",0,0
28/10/2024 18:46,e,"15,09","66,27",0,0
28/10/2024 18:46,s,"16,79","59,57",0,0
28/10/2024 18:46,i,16,"62,5",0,0
28/10/2024 18:46,z,"15,91","62,85",0,0
28/10/2024 18:46,e,"15,67","63,82",0,0
28/10/2024 18:46,r,"16,41","60,94",0,0
28/10/2024 18:46,[ENTER],"15,17","65,92",0,0
28/10/2024 18:46,[SHIFT],"136,13","7,35",0,0
28/10/2024 18:46,$,"0,97","1025,64",0,0
28/10/2024 18:46,s,"15,8","63,28",0,0
28/10/2024 18:46,p,"15,88","62,99",0,0
28/10/2024 18:46,e,"15,42","64,83",0,0
28/10/2024 18:46,a,"16,03","62,39",0,0
28/10/2024 18:46,k,"16,7","59,87",0,0
28/10/2024 18:46,.,"15,09","66,26",0,0
28/10/2024 18:46,[SHIFT],"16,12","62,05",0,0
28/10/2024 18:46,S,"0,97","1025,64",0,0
28/10/2024 18:46,p,"15,52","64,44",0,0
28/10/2024 18:46,e,"16,18","61,8",0,0
28/10/2024 18:46,a,"16,28","61,43",0,0
28/10/2024 18:46,k,"15,01","66,62",0,0
28/10/2024 18:46,[SHIFT],"16,73","59,78",0,0
28/10/2024 18:46,(,0,0,0,0
28/10/2024 18:46,,"15,88","62,95",0,0
28/10/2024 18:46,[SHIFT],"15,62","64,03",0,0
28/10/2024 18:46,H,"0,92","1091,7",0,0
28/10/2024 18:46,o,"14,89","67,17",0,0
